SenderId,ReceiverId,FileCreationDate,FileCreationTime,PayerCompanyName,PayerId,CheckOrEffectiveDate,CheckNumber,CheckAmount,InvoiceNumber,InvoiceDate,ReferenceNumber,VoucherNumber,VoucherDueDate,Description,GrossAmount,DiscountAmount,AdjustedAmount,NetAmount,Comments
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187219,3/14/2017,,,,,5050.62,50.51,,5000.11,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187357,3/16/2017,,,,,6227.32,62.27,,6165.05,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187167,3/14/2017,,,,,67.96,0.68,,67.28,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187168,3/14/2017,,,,,92.8,0.93,,91.87,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187172,3/14/2017,,,,,1606.23,16.06,,1590.17,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187173,3/14/2017,,,,,14.99,0.15,,14.84,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187174,3/14/2017,,,,,321.52,3.22,,318.3,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187175,3/14/2017,,,,,120.03,1.2,,118.83,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187176,3/14/2017,,,,,26.52,0.27,,26.25,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187177,3/14/2017,,,,,31.72,0.32,,31.4,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187178,3/14/2017,,,,,1436.83,14.37,,1422.46,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187179,3/14/2017,,,,,86.69,0.87,,85.82,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187180,3/14/2017,,,,,218.83,2.19,,216.64,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187181,3/14/2017,,,,,315.99,3.16,,312.83,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187182,3/14/2017,,,,,128.56,1.29,,127.27,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187183,3/14/2017,,,,,372.87,3.73,,369.14,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187184,3/14/2017,,,,,285.48,2.85,,282.63,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187185,3/14/2017,,,,,358.51,3.59,,354.92,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187186,3/14/2017,,,,,760,7.6,,752.4,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187187,3/14/2017,,,,,250.58,2.51,,248.07,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187191,3/14/2017,,,,,528.32,5.28,,523.04,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187192,3/14/2017,,,,,1720.55,17.21,,1703.34,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187190,3/14/2017,,,,,787.53,7.88,,779.65,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187193,3/14/2017,,,,,3983.28,39.83,,3943.45,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187197,3/14/2017,,,,,1942.12,19.42,,1922.7,
Well Fargo,Lexington Manufacturing,170323,1101,Andersen Corporation,,170324,10049810,253554.65,187198,3/14/2017,,,,,3714.71,37.15,,3677.56,
